package_id,county_count,record_count
cvv7pi8b12i000835jo0,2,2
d004o3daar4g00e9lplg,2,2
d1it64pj31q000d74n0g,2,2
d5kon4u8nps0009h6hhg,2,2
d057mq2calk000fq0m3g,2,2
d4pnjmf1akqg00c7nv50,2,2
cvvbrqmjsr2g008tsvtg,2,2
d004f0c72f3g00aeuclg,2,2
d03v4dejsr2g00aj0pdg,2,2
cvvrvm79vfn000d17ivg,2,2
d0558lcaa58000e4korg,2,2
d03e1i0sssgg00evv390,2,2
d00544rpuid000bebe60,2,2
d055cjosssgg00fdaud0,2,2
d07pt1eomc2g00f76tf0,2,2
cvndr60b12i000f40hvg,2,2
d07q2iugi0og00a95g2g,2,2
d0557klsc5cg00dpa0u0,2,2
cvnj49ss3cjg00dhibpg,2,2
cvqjvfbpp0p000eoqt10,2,2
cvvv5vmomc2g00ddkuig,2,2
cvvshodaar4g00e6st50,2,2
cvvbr3cclak000amrm20,2,2
cvvu4u8h3d7g00cq9r1g,2,2
cvnjvjtu3ph000aivomg,2,2
d07pt6edqm9g00av2r10,2,2
d32bhj4fsebg00ekovp0,2,2
cvnioucs10rg00ep8tvg,2,2
d07pses72f3g00c5vgvg,2,2
d0sfb9mqdhp0008fur30,2,2
d0599iur7j8g00bful1g,2,2
d07q08gsssgg00fjb6f0,2,2
cvvu6itu3ph000bop9k0,2,2
cvqk0omo773g008ub2hg,2,2
d04i5h8b12i0009t5aj0,2,2
d03e4ktlhp0g0099t9d0,2,2
d004qn1ggil000fksb50,2,2
d5pk2ngrovqg0084jd2g,2,2
cvvegrv9vfn000cqn9j0,2,2
d07psnllhp0g009t7t0g,2,2
cvqjvp1ggil000eiih7g,2,2
cvvsj26r7j8g009s8p20,2,2
d03e485lhp0g0099t9b0,2,2
cvqk8hss3cjg00dnq4t0,2,2
cvqjvjvk2lrg00cdvvbg,2,2
d05542ss3cjg008arv40,2,2
cvnji8ks3cjg00dhid8g,2,2
cvne1fcs10rg00ep8m3g,2,2
cu4lkmfdn2eg00cbmit0,2,2
cvqk2n8b12i000fa83bg,2,2
cvqjosqo7i8g0082dlo0,2,2
d04ga4caa58000e4gd20,2,2
d00j8kmo773g00a4d520,2,2
d5gqb1ui8kjg00c3ek3g,2,2
cvvu335aar4g00e6tn0g,2,2
d5dfusui2fk000adkstg,2,2
cvqk3bmomc2g00ce45ig,2,2
d04i578sssgg00fd6jj0,2,2
d05907mo773g00bhf1kg,2,2
cvnk2hmomc2g00c7s610,2,2
cvo0n99ggil000edq2d0,2,2
cvvu67qdvnk00097tqs0,2,2
d07pvuk72f3g00c5vjjg,2,2
cvvehh3puid000b4pgs0,2,2
d03617uomc2g00ei6seg,2,2
d00ib35aar4g00edd7fg,2,2
cpma8rpjhmbg00fn3uv0,2,2
d04hnqcs3cjg008anmd0,2,2
d04kr5l27ee00093bq4g,2,2
cvvbr3kaa58000cal76g,2,2
d03rnf5u3ph000d7bvkg,2,2
cvnj45472f3g0096j4ig,2,2
d03669pn485g00bd7kc0,2,2
d0591adsc5cg00dpak50,2,2
d07pogkifud000b7fk0g,2,2
cvned84clak0009nlu7g,2,2
d07psdrpp0p0009hunbg,2,2
cvvs9scs10rg00fv1bhg,2,2
cvvbojks10rg00fofh3g,2,2
d04i5o7mrfo000copcfg,2,2
cvnjp35lhp0g00etuph0,2,2
d0595k6r7j8g00bfukqg,2,2
d035ult27ee0008kdatg,2,2
d07pu99s5hl000emheqg,2,2
d036128h3d7g00duu6c0,2,2
cvpdjc5lhp0g00f2dev0,2,2
cvnjhoio7i8g00fs5n70,2,2
cvnj14n9vfn000brgn0g,2,2
cvnf0ggh3d7g00bkg1kg,2,2
cvvvd9advnk00097tv0g,2,2
cvnk18vk2lrg00c7ombg,2,2
cvrc3gtlhp0g00f82i20,2,2
d057mhp0qf8g00a47j9g,2,2
cvvc1lk72f3g00a5qld0,2,2
cvnjlu6r7j8g008mfq00,2,2
d04kcuqdvnk000ardvhg,2,2
d03dtbigb1c000b9tvu0,2,2
d5ultk5sdh8000a0pmd0,2,2
d04g5p9n485g00bs2f0g,2,2
cvvsaalaar4g00e6srq0,2,2
cvvegudpebk000cbth20,2,2
cvvbm190qf8g008a42tg,2,2
cvvsi8lpebk000cie9sg,2,2
d07pojt27ee00099csog,2,2
cvnj0tjpp0p000eij850,2,2
d2610q7ldta000f6fo10,2,2
d04ftkcclak000cgq6sg,2,2
cvqjo3mr7j8g008snd4g,2,2
cvqk4radvnk00088d27g,2,2
cvnjnnqcalk000d0m37g,2,2
cvqk21du3ph000ap7mag,2,2
cvnj462calk000d0m13g,2,2
cvo0bnh0p0eg00e7qmp0,2,2
d5i49rei2fk000ae0mhg,2,2
cvvrt12o7i8g0091vbd0,2,2
d4pnjkvi154000cgnpf0,2,2
cusd3tfsnelg00dp26n0,2,2
d1it68j684e0008933d0,2,2
d07por5pebk000ec2ung,2,2
d04i263puid000cung10,2,2
